recording_id|source_artist|recording_artist|record_name|rec_artist_id|workid|rating
1908216|The Rolling Stones|The Tragically Hip|2000 Light Years/The Changeling|1226|306567|NULL
2023917|The Rolling Stones|Grave Digger|2000 Lightyears From Home|2061|306567|NULL
3104382|The Rolling Stones|Groovie Ghoulies|2000 Man|41825|582702|NULL
11401227|The Rolling Stones|Acid Drinkers|2000 Man|52587|582702|NULL
17146790|The Rolling Stones|KISS|2000 Man|1234915|582702|NULL
4130212|The Beatles|Ry Cooder|3 Cool Cats|9535|8683966|NULL
16892868|The Beatles|Perpetual e-Motion|5/6/11, 2 of 9: Perpetual e-Motion at the Concord Scout House|679803|8960072|NULL
6766024|The Beatles|Debauchery|8 Days a Week|175243|368502|NULL
15795475|The Beatles|The Fab Faux|A Day In The Life|445989|8018704|NULL
17443068|The Beatles|Les Boréades de Montréal|A Day In The Life|612697|8018704|NULL
14992519|The Beatles|Rockabye Baby!|A Day In the Life|529755|8018704|NULL
13217197|The Beatles|Muscle Snog|A Day in Life|939624|8018704|NULL
3341435|The Beatles|Phish|A Day in the Life|71|8018704|NULL
1450609|The Beatles|Sting|A Day in the Life|983|8018704|NULL
1234285|The Beatles|Robyn Hitchcock|A Day in the Life|1110|8018704|NULL
1282314|The Beatles|Wes Montgomery|A Day in the Life|1156|8018704|NULL
14245326|The Beatles|Paul McCartney|A Day in the Life|2122|8018704|NULL
9739216|The Beatles|Cheap Trick|A Day in the Life|2784|8018704|NULL
1771432|The Beatles|The Fall|A Day in the Life|4687|8018704|NULL
191632|The Beatles|Jeff Beck|A Day in the Life|5033|8018704|NULL
9540624|The Beatles|Grant Green|A Day in the Life|5189|8018704|NULL
3003157|The Beatles|London Symphony Orchestra|A Day in the Life|12299|8018704|NULL
14213434|The Beatles|Uakti|A Day in the Life|14629|8018704|NULL
1526774|The Beatles|Lee Ritenour|A Day in the Life|35021|8018704|NULL
7203647|The Beatles|Thom Rotella|A Day in the Life|35396|8018704|NULL
2131261|The Beatles|Big Daddy|A Day in the Life|40623|8018704|NULL
15397337|The Beatles|Royal Philharmonic Orchestra|A Day in the Life|42495|8018704|NULL
19095179|The Beatles|Doctor 3|A Day in the Life|42931|8018704|NULL
2888174|The Beatles|Barbara Dickson|A Day in the Life|46111|8018704|NULL
5311927|The Beatles|José Feliciano|A Day in the Life|47801|8018704|NULL
6420813|The Beatles|The Allen Toussaint Orchestra|A Day in the Life|51800|8018704|NULL
7509073|The Beatles|Affinity|A Day in the Life|63223|8018704|NULL
7234674|The Beatles|Wolfgang Dauner Quintet|A Day in the Life|65875|8018704|NULL
1101988|The Beatles|Tufts University Beelzebubs|A Day in the Life|70291|8018704|NULL
17140156|The Beatles|Gábor Szabó|A Day in the Life|73628|8018704|NULL
5872967|The Beatles|Tok Tok Tok|A Day in the Life|77192|8018704|NULL
5793442|The Beatles|Mae|A Day in the Life|81230|8018704|NULL
13237280|The Beatles|Andy Timmons|A Day in the Life|87766|8018704|NULL
10716846|The Beatles|[unknown]|A Day in the Life|97546|8018704|NULL
9925689|The Beatles|Duofel|A Day in the Life|99929|8018704|NULL
19037141|The Beatles|Betsy Pecanins|A Day in the Life|107639|8018704|NULL
1525069|The Beatles|The Cat's Miaow|A Day in the Life|119284|8018704|NULL
4472234|The Beatles|Eric Burdon & War|A Day in the Life|131333|8018704|NULL
