recordingid|sourceartist|recording_artist|recordname|recartistcredit
10726042|The Beatles|Anthony Ventura and his Orchestra|Michelle|327482
4483091|The Rolling Stones|Anti-Nowhere League|Paint It Black|4863
5994403|The Beatles|Antidoping|Eleanor Rigby (dub)|113368
909182|The Rolling Stones|Anvil|Paint It Black|5215
3413931|The Beatles|Anything Box|All You Need Is Love|49916
9884064|The Beatles|Aonami|Back in the U.S.S.R.|407140
2487191|The Rolling Stones|April Wine|I Just Wanna Make Love to You|3577
2340690|The Beatles|Area Code 615|Hey Jude|159784
2340692|The Beatles|Area Code 615|Lady Madonna|159784
1082663|The Rolling Stones|Aretha Franklin|(I Can't Get No) Satisfaction|1460
413970|The Beatles|Aretha Franklin|Eleanor Rigby|1460
5223588|The Rolling Stones|Aretha Franklin|Jumpin' Jack Flash|1460
13623780|The Rolling Stones|Aretha Franklin|Jumpin' Jack Flash (single version)|1460
688571|The Rolling Stones|Aretha Franklin|Jumpin’ Jack Flash|1460
314464|The Beatles|Aretha Franklin|Let It Be|1460
1405442|The Rolling Stones|Aretha Franklin|Satisfaction|1460
7906195|The Beatles|Aretha Franklin|The Fool on the Hill (This Girl's in Love With You outtake)|1460
4142608|The Beatles|Aretha Franklin|The Long and Winding Road|1460
2863215|The Rolling Stones|Aretha Franklin|You Can't Always Get What You Want|1460
2082134|The Beatles|Arif Mardin|Glass Onion|145678
4177497|The Rolling Stones|Arif Mardin|Sympathy for the Devil|145678
18276645|The Rolling Stones|Arlen Roth|Like A Rolling Stone|248099
3184560|The Beatles|Arno|Be bop a lula|37595
1532008|The Rolling Stones|Arno|It's All Over Now|37595
4906400|The Rolling Stones|Arno|Mother's Little Helper|37595
6805392|The Beatles|Art Garfunkel|I Remember You|15102
18986437|The Beatles|Art Tatum|The Sheik of Araby|3457
7104004|The Beatles|Arthur "Big Boy" Crudup|That's All Right|71926
8285324|The Beatles|Arthur Alexander|Anna (Go to Him)|104461
8657369|The Beatles|Arthur Conley|Ob-La-Di, Ob-La-Da|16410
17183562|The Beatles|Arthur Crudup|That’s All Right|897219
2765395|The Beatles|Arthur Fiedler & Boston Pops Orchestra|A Hard Day's Night (1965 Recording)|805801
2765389|The Beatles|Arthur Fiedler & Boston Pops Orchestra|A Hard Day's Night (1969 Recording)|805801
2765382|The Beatles|Arthur Fiedler & Boston Pops Orchestra|And I Love Her (1969 Recording)|805801
2765381|The Beatles|Arthur Fiedler & Boston Pops Orchestra|Eleanor Rigby|805801
2765384|The Beatles|Arthur Fiedler & Boston Pops Orchestra|Hey Jude|805801
2765393|The Beatles|Arthur Fiedler & Boston Pops Orchestra|I Want to Hold Your Hand|805801
2765392|The Beatles|Arthur Fiedler & Boston Pops Orchestra|Michelle|805801
2765383|The Beatles|Arthur Fiedler & Boston Pops Orchestra|Ob-La-Di, Ob-La-Da|805801
2765388|The Beatles|Arthur Fiedler & Boston Pops Orchestra|Penny Lane|805801
2765390|The Beatles|Arthur Fiedler & Boston Pops Orchestra|The Fool on the Hill|805801
2765385|The Beatles|Arthur Fiedler & Boston Pops Orchestra|With a Little Help From My Friends|805801
2765386|The Beatles|Arthur Fiedler & Boston Pops Orchestra|Yellow Submarine|805801
2765391|The Beatles|Arthur Fiedler & Boston Pops Orchestra|Yesterday|805801
9812579|The Beatles|Artisan Church|Let it Be|646384
9880990|The Beatles|Arturo Sandoval|Blackbird|11115
17327577|The Beatles|Ash|Hello Goodbye|939
13744953|The Beatles|Ashley Chittock|She Came in Through the Bathroom Window (The Beatles Cover)|1012305
1655502|The Rolling Stones|Ashley Cleveland|Gimme Shelter|23222
1828515|The Rolling Stones|Aslan|Angie|30520
3401036|The Rolling Stones|Asleep at the Wheel|(Get Your Kicks On) Route 66|3231
7679689|The Rolling Stones|Aslyn|Like a Rolling Stone|215043
4794158|The Rolling Stones|Assemblage 23|Satisfaction|31940
3467210|The Rolling Stones|Astrovamps|Paint It Black|200696
2404782|The Beatles|Astrud Gilberto|Here There and Everywhere|1840
12728001|The Beatles|Asylum Party|Ticket to Ride|424845
1841930|The Beatles|Ataraxia|Madrigale: Ticket to Ride|53569
11481039|The Beatles|Athlete|Lucy in the Sky With Diamonds|57837
2985610|The Beatles|Atlanta Rhythm Section|Long Tall Sally|33354
1693786|The Beatles|AtmOsfear|Eleanor Rigby|360407
2580112|The Beatles|Auscultate|Blackbird|346367
10465325|The Beatles|Autolux|Helter Skelter|101241
7631412|The Rolling Stones|Avengers|Paint It Black|865648
4178620|The Beatles|Avishai Cohen|Come Together|5336
15142836|The Beatles|Axel Prahl|With a Little Help From My Friends|860844
3499842|The Beatles|Axl Rose and Bruce Springsteen|Come Together|1572342
4121613|The Beatles|Ayreon|When I'm Sixty-Four|14521
4187610|The Beatles|Azadeh Abi, Holmes Ives feat. Avalon Frost|Come Together|1462560
1749115|The Rolling Stones|Azúcar Moreno|Paint It Black|52540
1404170|The Rolling Stones|B.B. King, Big Mama Thornton & Muddy Waters|Little Red Rooster|860874
2124239|The Beatles|B.B. Seaton|Eleanor Rigby|147468
11673903|The Rolling Stones|B.E.F.|I Don't Know Why I Love You (But I Love You)|213633
4379502|The Rolling Stones|BBQ|Out of Time|274926
6985534|The Rolling Stones|BENNIE K|SATISFACTION|273118
12695064|The Rolling Stones|BOND|Last Time (a.k.a. Bittersweet)|852990
3258912|The Beatles|BONNIE PINK|Blackbird|62721
7185385|The Beatles|BONNIE PINK|MAGICAL MYSTERY TOUR|62721
6859353|The Beatles|BONNIE PINK|Revolution|62721
3646997|The Beatles|Baba Yaga|Back in the U.S.S.R.|228669
1106159|The Rolling Stones|Babyface & Gwyneth Paltrow|Just My Imagination (Running Away With Me)|861883
9884057|The Beatles|Bacalao|Blackbird|418636
2648503|The Rolling Stones|Bad Boys Blue|Under the Boardwalk|20428
2110587|The Beatles|Bad Brains|Day Tripper|4818
14058891|The Beatles|Bad Religion|Johnny B. Good|779
1230507|The Beatles|Bad Religion|Johnny B. Goode|779
1943468|The Beatles|Badi Assad|While My Guitar Gently Weeps|92545
16134898|The Beatles|Balalaika Nueva|SOMETHING|1309382
5670799|The Beatles|Baltimoore|Hey Bulldog|333998
11099089|The Beatles|Bananarama|Help|1939
2627639|The Beatles|Bananarama|Help '89|1939
827437|The Beatles|Bananarama|Help!|1939
3795048|The Beatles|Bananarama / Lananeeneenoonoo|Help (extended version)|998818
3562021|The Beatles|Bananarama / Lananeeneenoonoo|Help!|998818
682920|The Beatles|Bananarama / Lananeeneenoonoo|Help! (extended version)|998818
14577647|The Beatles|Bananarama feat. Lananeeneenoonoo|Help|959932
1203480|The Beatles|Band of Oz|Johnny B. Goode|93438
1071270|The Rolling Stones|Band of Susans|Paint It Black|81083
1071272|The Rolling Stones|Band of Susans|Paint It Black (instrumental)|81083
5852570|The Rolling Stones|Banda Do Sul meets Natascha|It's Only Rock 'n Roll (But I Like It)|909721
10381431|The Beatles|Bandaged|All You Need Is Love|678311
13992100|The Beatles|Barbara Cook, Robert Preston|Till There Was You|1412492
14342402|The Beatles|Barbara Cue & Vic Chesnutt|All I’ve Got to Do|1099914
294484|The Rolling Stones|Barbara Dennerlein|Satisfaction|24231
2888174|The Beatles|Barbara Dickson|A Day in the Life|46111
8984143|The Beatles|Barbara Dickson|Across the Universe|46111
8984138|The Beatles|Barbara Dickson|Eleanor Rigby|46111
8984137|The Beatles|Barbara Dickson|Every Little Thing|46111
8984144|The Beatles|Barbara Dickson|Goodnight|46111
8984136|The Beatles|Barbara Dickson|Here, There and Everywhere|46111
8984134|The Beatles|Barbara Dickson|I Will|46111
8984140|The Beatles|Barbara Dickson|I'll Be Back|46111
8984133|The Beatles|Barbara Dickson|If I Needed Someone|46111
8984141|The Beatles|Barbara Dickson|P.S. I Love You|46111
8984135|The Beatles|Barbara Dickson|Rain|46111
